College,Dept,Course Prefix,Course Name,Units,Description,College+Dept,Dept+CourseNum
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-410,Advanced Agricultural Leadership Experience,1 unit,"Activities that promote personal growth and development from a leadership perspective.  Special attention on recruiting, organizing, and engaging volunteers.  Teambuilding, cooperation, communication, problem solving, time management, and organization skills are emphasized.  Guiding students in serving others in major student activities.  The Class Schedule will list topic selected.  Total credit limited to 2 units.  1 activity.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-410"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-412,Advanced Leadership Practice: Poly Royal Rodeo,3 units,"Management and oversight of Poly Royal Rodeo during Cal Poly Open House.  Proficiency in problem-solving as leaders and as a team.  Discuss principles and procedures in planning, organizing, financing, promoting, and managing a major collegiate rodeo and the rodeo industry.  Field trip may be required.  Credit/No Credit grading only.  1 lecture, 2 activities.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-412"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-413,Committee Management: Poly Royal Rodeo,2 units,"Continuation of AG 412.  Oversight of volunteers, committee members and interacting with event attendees.  Emphasis on leadership, problem solving and building a new management team.  Annual evaluation of events and planning for future events while successfully mentoring new students.  Field trip may be required.  1 lecture, 1 activity.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-413"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-450,Applied Holistic Management,4 units,"Application of holistic management, a goal-oriented, value-driven framework for making decisions that are ecologically, economically, and socially sound.  Impact of technology and other tools on ecosystem processes.  Holistic approach to management, especially of land-based resources, aimed toward greater biodiversity and sustainability.  Not open to students with credit in AG/ASCI 360.  3 lectures, 1 laboratory.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-450"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-452,Issues Affecting California Agriculture,4 units,Interactive seminars with speakers from government and industry covering policy and regulations affecting California agriculture.  Students develop an understanding of agricultural policy and work in teams to develop a public presentation and position paper on a significant issue.  Field trip to Sacramento required.  4 seminars.,"College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-452"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-485,Cooperative Education Experience,6 units,"Part-time work experience in business, industry, government, and other areas of student career interest.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  Formal report and evaluation by work supervisor required.  No major credit allowed; total credit limited to 12 units.  Credit/No Credit grading only.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-485"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-495,Cooperative Education Experience,12 units,"Full-time work experience in business, industry, government, and other areas of student career interest.  Positions are paid and usually require relocation and registration in course for two consecutive quarters.  Formal report and evaluation by work supervisor required.  No major credit allowed; total credit limited to 24 units.  Credit/No Credit grading only.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-495"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-500,Individual Study,1-6 units,Advanced independent study planned and completed under the direction of a member of the college faculty.  Total credit limited to 6 units.,"College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-500"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-539,Graduate Internship in Agriculture,1-9 units,"Application of theory to the solution of problems of agricultural production or related businesses in the field.  Analyze specific management problems and perform general management assignments detailed in a contract between the student, the firm or organization, and the faculty advisor before the internship commences.  Degree credit limited to 6 units.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-539"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-581,Graduate Seminar,1 unit,Advanced topics in agriculture and natural resources.  Group study of current research and industry trends.  Invited speakers covering a variety of topics.  Total credit limited to 3 units.  1 hour seminar.,"College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-581"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-585,Cooperative Education Experience,6 units,"Advanced study analysis and part-time work experience in student's career field; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government.  Must have demonstrated ability to do independent work and research in career field.  Total credit limited to 9 units.  Credit/No Credit grading only.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-585"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-595,Cooperative Education Experience,12 units,"Advanced study analysis and full-time work experience in student's career field; current innovations, practices, and problems in administration, supervision, and organization of business, industry, and government.  Must have demonstrated ability to do independent work and research in career field.  Total credit limited to 9 units.  Credit/No Credit grading only.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-595"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-598,Reading and Conference,1-12 units,"Systematic development of an agricultural thesis research project including literature searches, reports and experimental design.  Repeatable for up to 12 units.  Credit/No Credit grading only.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-598"
"College of Agriculture, Food and Environmental Science","College of Agriculture, Food and Environmental Science Dept",AG-599,Thesis,1-9 units,"Systematic research of a significant problem.  Thesis will include problem identification, significance, methods, data analysis, and conclusion.  Students must enroll every quarter in which facilities are used or advisement is received.  Degree credit limited to 6 units.","College of Agriculture, Food and Environmental ScienceCollege of Agriculture, Food and Environmental Science Dept","College of Agriculture, Food and Environmental Science DeptAG-599"
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-101,Introduction to Agribusiness,4 units,"Orientation to the agribusiness sector of agriculture.  An overview of the breadth, size, scope and management aspects of the agricultural business complex.  Agribusiness students are required to complete this within the first year of the major.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-101
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-200,Special Problems for Undergraduates,1-2 units,"Individual investigation, research, studies, or surveys of selected problems.  Total credit limited to 4 units, with a maximum of 2 units per quarter.  Credit can only be used to satisfy free electives.  Credit/No Credit grading only.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-200
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-202,Introduction to Sales,4 units,"Development of professional business-to-business selling principles within the supply chain, including an introduction to understanding the sales process from different buying and selling perspectives, communication techniques, and basic sales competency. 4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-202
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-212,Agricultural Economics,4 units,Theoretical development of factors affecting demand and supply for food and fiber and for agricultural inputs. Methods of selecting optimal levels of agricultural production and consumption variables. Evaluation of market structure and price formulation for agricultural products and resources. Course may be offered in classroom-based or online format. 4 lectures.,"College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-212
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-214,Agribusiness Financial Accounting,4 units,"Principles of financial accounting for the agriculture and food industry. Introduction of basic concepts and standards underlying financial accounting systems. Emphasizes the construction of the financial accounting statements and the impact of business transactions on information presented to interested stakeholders. Not open to students with credit in BUS 214. Course may be offered in classroom-based or hybrid format. 3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-214
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-260,Agribusiness Data Literacy,4 units,"Using data and analysis in making decisions related to agribusiness. Developing basic and intermediate spreadsheet skills necessary to organize, analyze, and summarize information. Development of data management and analysis as tools to assist in agribusiness problem-solving. 4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-260
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-270,Selected Topics,1-4 units,Directed group study of selected topics.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 lectures.,"College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-270
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-301,Food and Fiber Marketing,4 units,"Food and fiber marketing, examining commodity, industrial, and consumer product marketing from a managerial viewpoint.  A global perspective in understanding consumer needs and developing the knowledge of economic, political, social and environmental factors that affect food and fiber marketing systems.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-301
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-304,Innovation and Entrepreneurship in Agriculture,4 units,"Innovation and entrepreneurship with application to the Food and Agriculture sector.  Identification of opportunities, value proposition, Business Model Canvas (BMC), product market fit and market sizing, minimum viable product, and identification of target market consumers.  Field trip required.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-304
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-308,Introduction to Agribusiness Finance,4 units,"Concepts and analytical methods related to agricultural finance.  Focus on applied spreadsheet analysis of financial statements, time value of money, risk and return, portfolio theory, and capital budgeting within the context of financial institutions specific to agriculture.  Not open to students with credit in AGB 310.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-308
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-309,Advanced Sales Techniques,4 units,"Expansion of basic sales principles and skills, focusing on prospecting, sales styles, pipelining, forecasting, and product planning.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-309
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-310,Agribusiness Credit and Finance,4 units,Financing California's agricultural industry.  Sources of credit and types of loans used by agribusinesses.  Costs of credit.  Financial analysis of agricultural borrowers.  Future and present value techniques used in evaluating agricultural investments.  Agricultural financial management.  Financial capital markets and leasing.  Not open to Agricultural Business majors.  Not open to students with credit in AGB 308.  4 lectures.,"College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-310
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-311,Intermediate Agribusiness Finance,4 units,"Financial tools applied to the agribusiness industry, focusing on unique risks in agriculture.  Risk and return in the production and processing sectors, working capital management, cash flows and financial statement forecasting for agribusiness firms, using spreadsheet analysis.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-311
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-312,Agricultural Policy,4 units,"Agricultural policy objectives and formulation, resource allocation and production adjustments.  Survey of State and Federal agricultural policies as they influence the planning and practices of agribusiness.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-312
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-313,Agriculture Economic Analysis,4 units,"Advanced agricultural microeconomics with emphasis on mathematical problem solving; production and cost functions, single and multiple input allocation, agricultural output combinations, agricultural market structures, and economies of size.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-313
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-318,Global Agricultural Marketing and Trade,4 units,"Analysis of international marketing opportunities for agricultural products.  Strategies for enhancing the performance of U.S.  agricultural exports/ imports.  Impact of government trade policies and regulations, distribution systems, and the changing consumer.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-318
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-322,Principles of Agribusiness Management,4 units,"Organization and operation of agribusinesses.  Identification of factors affecting profitability.  Evaluation of the business for increased efficiency and profit.  Application of budgeting to representative firms and independent analysis of an agribusiness.  3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-322
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-323,Decision Making with Agribusiness Accounting Information,4 units,"Decision making using agribusiness accounting information.  Focus on setting and monitoring objectives, analysis, forecasting and budgeting, business ethics, and decision making.  Topics covered within the food supply chain.  3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-323
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-326,Rural Property Appraisal,4 units,"Methods of rural appraisal, including farms, ranches and other rural properties, use of county records, appraisal practice on different types of rural properties, discussions with professional appraisers.  3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-326
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-327,Agribusiness Data Analysis,4 units,"Methods in agricultural business data analysis, including multiple regression analysis, analysis of variance, and time series analysis.  Applications include agricultural price forecasting and estimation of the determinants of food and fiber demand.  3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-327
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-328,Decision Tools for Agribusiness,4 units,"Development of agribusiness modeling techniques that are applied to solving a diverse and unique set of resource allocation issues encountered throughout the agricultural and food retail sectors.  Techniques include linear programming, decision analysis, and computer simulations.  3 lectures, 1 activity.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-328
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-335,Agricultural Lending,4 units,"Structure and performance of the agricultural lending industry.  Advanced agricultural loan analysis and risk assessment.  Agricultural loan documentation, securitization of farm loans, and farm bankruptcy.  Exploration of interest rate impacts on agricultural lending.  4 lectures.  Formerly AGB 410.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-335
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-339,Internship in Agribusiness,1-12 units,Selected students will spend up to 12 weeks with an approved agricultural firm engaged in production or related agribusiness.  Time will be spent applying and developing agribusiness functional and managerial skills and abilities.  One unit of credit may be allowed for each full week of completed and reported internship.  Degree credit limited to 6 units.  Credit/No Credit grading only.,"College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-339
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-369,Agricultural Personnel Management,4 units,"Standard topics of California agricultural personnel management:  recruitment; appraisal and performance evaluation; compensation; training and development; discipline; safety and health; labor relations; and immigration policy.  Systemic approach to aspects of managing human capital, and how to implement human resource policies.  Not open to students with credit in AGB 401.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-369
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-370,World Food Economy,4 units,"International agricultural production, economics, and distribution.  Comparative and competitive advantage in world agriculture.  Food security issues and regional analysis of agriculture policies.  The future of agriculture from a global perspective.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-370
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-400,Special Problems,1-2 units,"Individual investigation, research, studies, or surveys of selected problems.  Total credit limited to 4 units, with a maximum of 2 units per quarter.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-400
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-404,Food Retail Management,4 units,"Uses and techniques in management of perishable and non-perishable food commodities at the retail level.  Issues in traditional versus new models of retain with emphasis on the marketing mix.  Introduction to vendor, category and shelf management.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-404
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-405,Agribusiness Marketing Research Methods,4 units,"Agricultural marketing research data collection and analysis.  Emphasis on food sector market segmentation, product positioning, new product testing, sales forecasting, and marketing plan development through secondary and primary data sources.  Experimental research design and implementation.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-405
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-406,Agribusiness Marketing Planning,4 units,"Development of agribusiness marketing plans in self-managed teams.  Emphasis on developing presentation skills.  Integration of marketing mix, particularly promotional elements in developing agribusiness marketing strategy emphasized.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-406
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-411,Agribusiness Risk Management,4 units,"Risk management strategies and tools applied to the agribusiness industry, focusing on risks in agriculture.  Forward contracting, futures and options, swaps, crop insurance, trading and hedging strategies, and their applications to agribusiness problems.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-411
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-412,Advanced Agricultural Policy,4 units,Agricultural resource allocation issues with emphasis on policies that impact the production of food and fiber and inputs used in their production.  Special topics in agricultural resource allocation stressing issues and policies emphasizing economic externalities.  4 lectures.,"College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-412
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-422,Transportation and Logistics in Global Agribusiness,4 units,"Scope and elements of the agribusiness logistics system including supply and distribution channels, transportation, inventory, warehousing, packaging, and order processing.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-422
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-425,Agribusiness Supply Chain Management,4 units,"Focus on the development and application of decision models in food supply chains with emphasis on demand forecasting, aggregate planning, inventory management (cycle and food safety), supply network design, transportation, coordination and sourcing.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-425
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-427,Advanced Agribusiness Data Analysis,4 units,"Advanced topics in agricultural business data analysis.  Topics include advanced agricultural price analysis, advanced linear programming in agribusiness, and advanced agricultural business operations analysis.  The Class Schedule will list topic selected.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-427
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-440,Field Studies in Agribusiness,2 units,"Visitation to selected agribusinesses.  Organization, operation, services and problems considered.  Can only be taken once for credit in the major.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-440
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-445,Produce Marketing,4 units,"Directed group study of fresh fruit and vegetable sales and marketing.  Analysis of marketing from the perspective of the Grower Shipper, Specialty Produce Marketer, Terminal Market Wholesaler, Food Broker, Food Service Supplier, Retailer and International Marketing.  Field trip required.  2 lectures, 2 seminars.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-445
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-450,Agribusiness Strategy Formulation,4 units,Development of strategy for agribusinesses where an uncontrollable environment makes output and results highly unpredictable; emphasis on the total enterprise.  Case analysis.  4 lectures.,"College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-450
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-452,Agricultural Market Structure and Strategy,4 units,Development of skills for quantity and price determination in a noncompetitive setting.  Emphasis on examining the agribusiness industry structures that exist and their effects on decision-making.  The use of game theory demonstrated as a strategy formulation tool.  4 lectures.,"College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-452
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-460,Senior Project - Research I,2 units,Empirical application of the scientific method as it relates to the design and development of Senior Project.  Research plan is developed.  First quarter of individual Senior Project.,"College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-460
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-461,Senior Project - Research II,2 units,"Completion of a project under faculty supervision.  Research topics or projects typical of problems which graduates must solve in the agricultural, food and fiber industries.  Project results are presented in a formal report.  Minimum 60 hours total time.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-461
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-462,Senior Project - Applied Agribusiness Problems,4 units,"Selection and analysis of agribusiness problems and opportunities in directed group-based projects.  Exploration of problems which agribusiness graduate students may encounter in marketing, finance, management and production in the food and fiber industry.  Formal report and presentation required.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-462
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-463,Senior Project - Agribusiness Consulting,4 units,"Client-centered course where self-managed teams develop solutions to agribusiness problems.  Exploration of problems typical to those which agribusiness graduates may encounter in marketing, finance, management and production in the food and fiber industry.  Formal report and presentation to client required.  4 lectures.","College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-463
"College of Agriculture, Food and Environmental Science",Agribusiness,AGB-470,Selected Advanced Topics,1-4 units,Directed group study of selected topics for advanced students.  Open to undergraduate and graduate students.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 lectures.,"College of Agriculture, Food and Environmental ScienceAgribusiness",AgribusinessAGB-470
"College of Agriculture, Food and Environmental Science",Agricultural Education and Communication,AGC-102,Orientation to Agricultural Communication & Agricultural Science,2 units,"Orientation to the communication sector of agriculture. Overview of professional opportunities and skills needed for success in agricultural communication and related agricultural disciplines. Preparation of news releases and short writing and video, and development of a planned program of study. 2 lectures.","College of Agriculture, Food and Environmental ScienceAgricultural Education and Communication",Agricultural Education and CommunicationAGC-102
"College of Agriculture, Food and Environmental Science",Agricultural Education and Communication,AGC-200,Special Problems in Agricultural Communication,1-4 units,"Individual investigation, research, studies or surveys of selected problems in Agricultural Communication/Agricultural Education.  Total credit limited to 8 units, with a maximum of 4 units per quarter.","College of Agriculture, Food and Environmental ScienceAgricultural Education and Communication",Agricultural Education and CommunicationAGC-200
"College of Agriculture, Food and Environmental Science",Agricultural Education and Communication,AGC-207,Software Applications for Agricultural Publications,2 units,"Emphasis on software applications in agricultural communications, including basic Adobe Creative Suite techniques of InDesign and Lightroom, MS Word and Excel. Best practices in electronic delivery and print. Adobe Premiere video, blog template usage and cloud collaboration for professional agricultural communications. 1 lecture, 1 activity.","College of Agriculture, Food and Environmental ScienceAgricultural Education and Communication",Agricultural Education and CommunicationAGC-207
