Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Industrial Technology and Packaging,1,6,0,1,1,0,1,6,0,1,1,0,0,1,9,2,2,1,0,0,1,2,0,0,4
Interdisciplinary Studies,23,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,4,4,0,0,0
Journalism,11,0,1,8,24,1,0,5,0,0,0,0,0,1,0,3,5,2,0,0,5,1,0,0,1
Kinesiology,31,7,11,2,4,5,16,11,1,8,108,1,2,4,3,0,15,3,1,0,2,2,0,3,4
Landscape Architecture,11,1,10,4,6,1,1,2,9,3,2,0,0,0,1,0,0,1,0,0,1,1,6,0,17
Liberal Arts and Engineering Studies,17,43,1,8,19,13,1,6,9,5,0,0,9,7,5,8,2,5,4,3,6,4,0,0,1
Liberal Studies,129,9,85,17,3,4,25,8,4,4,28,7,9,5,6,1,21,19,5,1,2,16,5,0,13
Manufacturing Engineering,17,63,0,12,5,15,10,12,7,5,1,0,2,4,16,9,3,15,1,4,8,20,0,0,14
Marine Sciences,22,19,34,5,1,17,43,5,4,3,7,0,3,2,4,1,7,16,0,2,10,9,12,0,38
Materials Engineering,0,20,19,5,1,4,15,8,5,2,1,0,1,5,13,0,2,12,0,6,5,5,1,0,12
Mathematics,1,22,6,1,0,0,2,2,4,3,0,1,9,4,3,1,5,52,20,16,27,6,0,0,1
Mechanical Engineering,2,53,3,12,7,1,4,0,4,17,0,0,1,7,11,17,13,11,1,4,4,2,5,0,7
Microbiology,6,19,2,21,0,1,51,3,2,3,25,0,2,1,40,0,6,11,0,2,7,4,10,0,16
Music,6,1,4,1,1,0,0,0,1,22,0,0,0,89,1,0,12,0,0,0,0,0,0,0,0
Nutrition,15,5,8,11,0,4,37,9,2,1,76,3,1,5,19,0,8,13,0,3,3,7,1,0,3
Philosophy,18,2,2,0,0,2,0,1,1,0,2,0,0,0,0,2,1,1,6,0,0,0,0,2,4
Physics,11,2,0,0,2,4,3,0,0,1,0,0,0,0,0,0,0,7,0,17,0,0,0,0,4
Political Science,97,7,2,3,0,1,0,19,2,0,2,0,4,0,2,5,5,3,0,0,3,11,4,1,10
Public Health,73,9,11,7,2,3,21,15,3,0,122,1,27,2,8,0,3,7,4,0,11,5,1,0,24
Psychology,60,4,13,0,0,3,7,4,1,1,9,3,3,0,1,1,5,2,0,0,1,1,0,0,2
"Recreation, Parks, and Tourism Administration",71,6,9,10,8,9,0,33,8,5,11,0,1,2,22,0,11,5,0,0,5,20,1,5,47
Sociology,90,1,5,6,1,0,1,14,3,3,1,4,3,1,3,5,3,1,1,0,1,6,0,0,6
Software Engineering,4,110,10,4,6,2,25,4,12,2,1,0,26,7,14,5,2,13,0,5,28,8,0,0,10
Spanish,135,1,23,3,2,9,0,5,6,13,8,2,25,10,0,1,34,0,67,0,0,30,0,0,12
Statistics,1,21,0,0,1,0,0,0,3,2,0,0,5,2,3,1,3,13,5,2,31,0,0,0,0
Theatre Arts,8,2,1,6,3,4,0,1,10,6,0,0,2,12,0,0,8,0,1,0,2,1,0,0,0
Wine and Viticulture,20,5,0,43,3,1,25,22,4,3,7,0,17,1,28,0,3,4,3,1,1,24,14,0,20
Accounting,0,3,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0
Consumer Packaging,1,1,0,0,2,2,0,4,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,5
Entrepreneurship,8,4,1,0,0,0,0,15,4,2,0,0,0,0,6,0,4,0,0,0,1,2,0,0,2
"Ethics, Law and Social Justice",35,4,0,0,3,1,0,1,1,0,1,0,0,0,0,3,1,1,0,0,0,4,0,0,2
Financial Management,1,11,0,1,1,2,0,7,1,0,0,0,1,0,1,1,0,3,1,1,4,34,0,0,0
Global Citizenship and Social Sustainability,95,0,1,7,2,12,0,2,7,2,0,0,2,0,3,2,2,0,1,0,0,26,4,0,39
Health and Society,79,6,6,10,2,14,3,0,5,0,31,2,1,0,4,1,0,3,0,1,0,11,0,0,34
Industrial Technology,2,6,1,3,2,3,0,14,3,2,0,0,0,2,8,1,2,0,0,0,1,3,0,0,4
Information Systems,1,7,2,0,0,0,0,8,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Management and Human Resources,4,1,2,0,0,0,0,13,3,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,4
Marketing Management,3,1,0,0,3,0,0,6,0,2,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0
Packaging Technology,0,1,0,1,0,2,0,5,0,1,0,0,0,0,13,0,1,0,0,0,1,0,0,0,1
Quantitative Analysis,0,14,0,0,0,0,0,4,1,1,0,0,1,1,2,1,0,20,9,10,21,7,0,0,0
Real Estate Finance,0,3,0,1,0,2,0,3,2,0,0,0,0,0,0,0,0,0,1,1,3,12,4,0,8
"Science, Technology and Society",58,4,2,6,2,15,0,1,4,2,6,0,2,0,2,1,1,1,3,0,0,13,0,0,36
Visual Media and Cultural Studies,71,1,0,8,3,6,0,0,1,3,0,0,3,14,0,1,15,0,9,1,0,1,0,0,0
"Bioinformatics, Cross Disciplinary Studies",0,11,0,0,0,0,21,1,2,2,0,0,2,2,0,0,2,1,0,0,2,0,0,0,0
"Data Science, Cross Disciplinary Studies",0,13,3,0,0,0,0,1,2,0,0,0,4,2,0,0,0,4,0,0,12,0,0,0,0
"Heavy Civil, Cross Disciplinary Studies",0,2,0,1,0,0,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
