Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Biomedical Engineering,11,52,6,52,21,1,68,48,56,17,7,16,0,12,98,3,31,3,37,26,3,34,3,10,12,28,8,61,21,11
BioResource and Agricultural Engineering,9,38,4,35,10,3,29,17,25,10,2,6,0,27,81,4,13,0,26,16,9,17,29,7,30,16,5,13,14,10
Business Administration,18,10,3,24,6,0,1,38,39,6,4,6,2,10,16,4,3,0,0,11,57,11,0,4,1,5,17,3,18,2
Chemistry,2,20,33,23,5,3,92,23,24,15,8,15,0,3,34,0,17,0,25,21,0,2,3,15,6,12,2,31,3,12
Child Development,23,3,58,3,5,1,22,3,4,18,18,5,0,0,3,1,2,0,1,6,3,1,0,3,12,11,4,1,0,16
City and Regional Planning,151,20,54,60,32,10,7,49,56,19,12,6,1,28,47,15,8,0,6,21,54,50,19,10,203,14,74,11,12,27
Civil Engineering,10,27,10,30,8,0,18,19,24,5,1,6,0,9,79,4,20,3,26,16,5,45,85,5,33,25,7,9,2,17
Communication Studies,41,2,11,7,12,0,2,9,14,2,1,3,0,1,8,4,0,0,1,6,3,6,1,2,4,3,2,2,1,1
Comparative Ethnic Studies,490,16,107,53,24,14,9,46,60,28,13,24,16,15,49,83,1,10,3,13,90,21,13,11,107,11,47,5,8,23
Computer Engineering,11,101,6,53,22,4,25,39,49,13,10,15,5,21,63,4,31,10,37,18,3,29,2,12,11,6,9,79,35,2
Computer Science,24,270,18,80,49,2,64,53,76,10,12,40,11,45,104,12,33,9,35,62,14,73,4,27,20,15,12,51,35,20
Construction Management,6,6,8,25,8,0,5,26,28,8,3,2,2,13,25,1,8,0,5,9,14,79,13,3,16,32,14,11,6,1
Dairy Science,9,11,7,88,10,2,58,21,20,39,2,11,3,155,23,4,6,0,7,12,25,33,9,11,17,13,1,6,20,11
Economics,3,21,2,8,2,0,0,18,18,2,1,2,1,1,10,1,4,1,3,11,28,5,0,1,0,3,2,5,3,2
Electrical Engineering,26,302,5,111,65,13,40,90,112,15,12,28,18,56,207,14,58,12,115,43,25,65,11,21,25,17,9,138,43,14
English,53,2,8,11,7,2,1,8,14,0,0,81,0,2,7,22,0,6,5,2,3,6,5,12,2,0,1,1,0,3
Environmental Earth and Soil Sciences,107,51,44,252,42,13,48,43,57,47,13,24,3,132,84,18,12,0,24,16,42,97,246,18,335,35,43,20,38,86
Environmental Engineering,10,19,9,29,11,0,33,15,18,19,1,4,1,14,60,4,12,0,32,21,6,14,32,10,41,11,16,5,6,6
Environmental Management and Protection,118,40,46,276,39,13,57,49,62,49,10,22,3,143,70,15,10,0,18,19,51,106,225,18,341,33,50,20,45,126
Food Science,18,8,10,45,7,0,45,14,13,23,5,8,3,134,23,7,8,0,6,9,5,15,11,9,20,8,1,9,36,12
Forest and Fire Sciences,116,43,45,282,42,13,53,42,54,57,11,21,3,157,69,16,10,0,13,16,51,116,255,21,356,36,54,22,41,107
General Engineering,5,17,6,30,4,0,35,23,27,6,6,15,2,4,50,0,15,0,33,18,2,11,6,5,6,17,4,15,7,9
Graphic Communication,13,45,6,53,137,46,8,30,47,7,8,8,2,45,17,7,6,0,2,11,9,39,1,3,18,10,14,16,61,4
History,110,1,10,6,0,0,0,7,9,0,0,35,0,0,7,9,0,3,3,4,19,3,0,7,4,1,1,0,1,1
Industrial Engineering,27,90,18,98,21,16,21,74,100,9,17,10,4,40,130,19,21,1,36,41,26,50,8,7,71,19,23,56,77,16
Industrial Technology and Packaging,2,13,1,12,6,0,1,7,9,3,2,2,1,19,6,3,5,0,5,9,3,12,0,4,4,2,5,6,36,3
Interdisciplinary Studies,45,4,10,3,4,0,2,4,5,0,0,1,0,0,4,4,0,0,2,18,8,4,0,2,0,0,0,1,0,0
Journalism,31,15,10,22,52,1,0,11,8,1,2,14,1,11,9,13,2,0,4,21,16,14,0,2,2,1,2,5,1,1
Kinesiology,50,12,63,16,19,5,33,20,30,176,15,12,4,6,17,17,3,1,14,12,9,11,1,26,36,23,18,6,1,13
Landscape Architecture,20,9,14,16,15,4,6,5,11,5,1,1,0,8,6,3,4,0,2,7,1,32,11,4,23,1,10,8,3,13
Liberal Arts and Engineering Studies,28,82,8,46,56,19,5,33,46,6,7,13,9,27,66,6,14,4,22,20,4,36,8,9,13,7,4,21,24,0
Liberal Studies,216,12,171,49,20,4,85,27,36,62,21,47,5,16,36,54,32,6,21,7,28,28,7,25,47,26,11,8,4,38
Manufacturing Engineering,25,84,13,100,30,15,30,73,101,14,20,12,4,51,135,19,22,1,40,28,26,67,8,11,70,22,26,104,97,17
Marine Sciences,30,29,68,57,23,18,108,32,51,14,16,17,2,19,48,27,21,0,18,30,11,21,20,10,117,13,15,6,8,91
Materials Engineering,15,26,31,44,21,6,38,40,49,20,12,15,5,24,74,7,17,0,41,19,13,43,6,15,16,28,32,113,37,2
Mathematics,3,36,8,39,0,0,11,35,37,8,1,14,4,9,49,6,77,27,74,65,9,22,6,8,3,5,2,9,12,7
Mechanical Engineering,14,89,4,67,29,3,27,45,66,20,13,9,7,31,140,18,19,1,66,22,3,50,18,17,20,21,11,120,65,3
Microbiology,9,27,7,60,8,2,120,27,30,38,3,13,1,66,38,8,14,0,11,17,5,11,14,6,29,11,0,10,15,36
Music,9,2,5,10,6,0,0,4,26,0,1,8,153,2,4,15,0,0,1,1,0,5,2,6,0,3,0,2,1,0
Nutrition,32,7,47,36,8,4,100,27,28,101,12,18,6,33,27,9,21,0,11,10,13,12,3,6,27,19,7,9,7,22
Philosophy,37,3,11,10,11,2,10,9,10,4,3,1,0,1,13,2,3,6,0,0,3,1,0,8,10,1,0,0,5,2
Physics,13,4,7,13,7,4,13,13,18,4,6,2,0,0,18,4,13,0,57,11,0,2,2,4,4,2,1,11,6,0
Political Science,174,14,32,22,9,1,10,31,20,9,2,7,0,8,24,16,3,0,2,11,35,12,6,2,16,9,18,9,3,8
Public Health,120,15,75,28,28,3,58,28,28,188,8,70,2,19,22,11,8,4,7,26,18,24,6,17,66,33,20,6,3,26
Psychology,101,7,71,9,7,3,29,11,17,27,10,11,0,3,13,9,4,0,1,6,7,7,0,1,13,15,8,2,0,17
"Recreation, Parks, and Tourism Administration",109,12,60,101,48,11,9,60,76,35,22,8,3,74,33,23,9,0,2,17,42,72,8,11,108,17,49,9,26,18
Sociology,157,8,83,33,17,0,6,34,36,12,9,9,1,13,31,9,1,1,2,11,19,16,3,6,19,10,11,3,4,9
Software Engineering,18,229,20,72,30,2,66,48,61,10,8,38,7,39,97,11,32,1,39,61,9,67,3,24,22,17,8,48,31,19
Spanish,249,3,75,30,27,10,5,32,54,19,13,112,12,3,28,59,0,67,0,2,47,14,6,7,66,10,27,3,6,19
Statistics,2,35,0,26,3,0,2,23,26,0,3,7,2,6,33,4,28,6,19,67,0,13,1,1,0,0,1,6,10,3
Theatre Arts,15,4,5,14,8,19,1,7,20,3,3,10,15,8,6,13,0,1,0,2,1,25,1,3,1,11,3,11,5,0
Wine and Viticulture,32,7,9,122,17,1,57,44,49,14,7,49,1,74,23,8,7,3,5,13,45,41,17,5,25,13,20,6,33,28
Accounting,2,3,0,1,2,1,0,12,13,0,0,1,0,2,4,1,0,0,0,0,37,2,1,0,0,1,2,2,5,0
Consumer Packaging,1,3,0,8,6,3,0,6,4,3,0,1,0,7,3,0,1,0,0,4,2,6,1,2,5,1,1,2,42,2
Entrepreneurship,9,4,8,7,13,0,0,17,22,0,6,1,0,6,3,4,0,0,0,1,9,9,1,0,4,5,13,5,16,0
"Ethics, Law and Social Justice",79,8,14,8,6,1,2,8,9,3,0,2,0,0,14,4,1,0,0,2,12,6,2,0,5,3,5,6,2,6
Financial Management,4,16,2,15,3,2,1,14,16,1,0,7,0,11,12,3,3,1,3,8,78,11,1,1,1,8,10,6,18,2
Global Citizenship and Social Sustainability,160,2,46,21,26,12,4,10,22,3,14,4,0,12,14,28,0,1,5,2,40,18,4,0,102,5,24,2,5,16
Health and Society,134,10,70,18,32,14,27,4,18,51,20,4,0,13,14,15,4,0,1,3,13,17,0,8,101,10,8,2,1,18
Industrial Technology,4,7,4,23,12,4,0,20,24,3,4,1,2,19,9,4,0,0,1,2,8,17,0,2,7,4,9,7,71,2
Information Systems,2,10,2,10,4,0,0,11,12,0,0,2,1,7,4,0,0,0,0,1,0,10,1,1,3,1,0,2,1,0
Management and Human Resources,5,1,7,12,8,0,1,16,20,0,5,1,7,6,4,0,1,0,0,1,2,11,0,3,12,4,6,2,15,0
Marketing Management,3,4,2,22,7,0,0,9,11,0,0,0,0,6,3,2,0,0,0,3,1,4,1,2,0,0,0,2,6,1
Packaging Technology,0,1,0,5,3,3,3,6,5,2,0,0,0,17,2,2,0,0,0,2,2,4,0,2,2,0,2,4,43,2
Quantitative Analysis,0,18,0,21,0,0,0,22,23,1,0,2,1,3,23,1,32,9,37,49,8,7,1,1,0,0,1,1,7,1
Real Estate Finance,1,4,0,12,1,2,0,7,8,1,0,2,0,8,5,2,0,1,2,4,14,13,4,0,8,4,5,6,3,1
"Science, Technology and Society",83,7,30,14,57,15,27,3,19,11,22,4,0,9,10,16,1,3,5,2,17,18,0,3,114,2,14,2,8,12
Visual Media and Cultural Studies,113,5,12,24,25,6,1,17,28,0,0,19,16,8,18,22,0,9,1,2,3,11,9,3,4,0,3,2,1,3
"Bioinformatics, Cross Disciplinary Studies",0,19,1,12,2,0,36,11,15,2,2,6,2,2,13,2,1,0,1,4,0,7,0,2,2,4,3,3,2,7
"Data Science, Cross Disciplinary Studies",0,23,3,14,2,0,5,11,13,0,2,5,2,4,14,0,7,0,11,25,0,10,0,1,0,0,2,3,0,0
"Heavy Civil, Cross Disciplinary Studies",1,5,0,15,2,0,0,4,4,0,0,0,1,8,12,0,0,0,0,0,3,50,5,0,3,9,3,5,2,0
