Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Liberal Arts and Engineering Studies,17,4,43,19,19,13,1,6,9,5,0,0,9,5,7,8,2,5,4,3
Liberal Studies,129,62,9,21,3,4,25,8,4,4,28,7,9,6,5,1,21,19,5,1
Manufacturing Engineering,17,0,63,29,5,15,10,12,7,5,1,0,2,16,4,9,3,15,1,4
Marine Sciences,22,29,19,17,1,17,43,5,4,3,7,0,3,4,2,1,7,16,0,2
Materials Engineering,0,13,20,11,1,4,15,8,5,2,1,0,1,13,5,0,2,12,0,6
Mathematics,1,5,22,6,0,0,2,2,4,3,0,1,9,3,4,1,5,52,20,16
Mechanical Engineering,2,2,53,14,7,1,4,0,4,17,0,0,1,11,7,17,13,11,1,4
Microbiology,6,3,19,26,0,1,51,3,2,3,25,0,2,40,1,0,6,11,0,2
Music,6,9,1,1,1,0,0,0,1,22,0,0,0,1,89,0,12,0,0,0
Nutrition,15,1,5,14,0,4,37,9,2,1,76,3,1,19,5,0,8,13,0,3
Philosophy,18,2,2,0,0,2,0,1,1,0,2,0,0,0,0,2,1,1,6,0
Physics,11,0,2,0,2,4,3,0,0,1,0,0,0,0,0,0,0,7,0,17
Political Science,97,2,7,7,0,1,0,19,2,0,2,0,4,2,0,5,5,3,0,0
Public Health,73,11,9,13,2,3,21,15,3,0,122,1,27,8,2,0,3,7,4,0
Psychology,60,6,4,2,0,3,7,4,1,1,9,3,3,1,0,1,5,2,0,0
"Recreation, Parks, and Tourism Administration",71,7,6,45,8,9,0,33,8,5,11,0,1,22,2,0,11,5,0,0
Sociology,90,5,1,11,1,0,1,14,3,3,1,4,3,3,1,5,3,1,1,0
Software Engineering,4,11,110,24,6,2,25,4,12,2,1,0,26,14,7,5,2,13,0,5
Spanish,135,21,1,3,2,9,0,5,6,13,8,2,25,0,10,1,34,0,67,0
Statistics,1,0,21,3,1,0,0,0,3,2,0,0,5,3,2,1,3,13,5,2
Theatre Arts,8,1,2,8,3,4,0,1,10,6,0,0,2,0,12,0,8,0,1,0
Wine and Viticulture,20,3,5,59,3,1,25,22,4,3,7,0,17,28,1,0,3,4,3,1
Accounting,0,0,3,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Consumer Packaging,1,0,1,2,2,2,0,4,0,0,0,0,0,5,0,0,0,1,0,0
Entrepreneurship,8,0,4,0,0,0,0,15,4,2,0,0,0,6,0,0,4,0,0,0
"Ethics, Law and Social Justice",35,0,4,0,3,1,0,1,1,0,1,0,0,0,0,3,1,1,0,0
Financial Management,1,1,11,8,1,2,0,7,1,0,0,0,1,1,0,1,0,3,1,1
Global Citizenship and Social Sustainability,95,1,0,12,2,12,0,2,7,2,0,0,2,3,0,2,2,0,1,0
Health and Society,79,6,6,14,2,14,3,0,5,0,31,2,1,4,0,1,0,3,0,1
Industrial Technology,2,1,6,9,2,3,0,14,3,2,0,0,0,8,2,1,2,0,0,0
Information Systems,1,0,7,7,0,0,0,8,1,0,0,0,1,0,1,0,0,0,0,0
Management and Human Resources,4,0,1,6,0,0,0,13,3,0,0,0,0,0,7,0,0,1,0,0
Marketing Management,3,0,1,2,3,0,0,6,0,2,0,0,0,4,0,0,2,0,0,0
Packaging Technology,0,1,1,1,0,2,0,5,0,1,0,0,0,13,0,0,1,0,0,0
Quantitative Analysis,0,0,14,1,0,0,0,4,1,1,0,0,1,2,1,1,0,20,9,10
Real Estate Finance,0,0,3,8,0,2,0,3,2,0,0,0,0,0,0,0,0,0,1,1
"Science, Technology and Society",58,3,4,11,2,15,0,1,4,2,6,0,2,2,0,1,1,1,3,0
Visual Media and Cultural Studies,71,2,1,8,3,6,0,0,1,3,0,0,3,0,14,1,15,0,9,1
"Bioinformatics, Cross Disciplinary Studies",0,0,11,2,0,0,21,1,2,2,0,0,2,0,2,0,2,1,0,0
"Data Science, Cross Disciplinary Studies",0,0,13,4,0,0,0,1,2,0,0,0,4,0,2,0,0,4,0,0
"Heavy Civil, Cross Disciplinary Studies",0,0,2,8,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0
