Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Journalism,32,15,10,23,65,5,0,12,7,8,1,5,15,3,11,10,13,3,0,4,32,16,0,2,6
Kinesiology,53,13,63,22,23,5,47,20,20,30,200,16,13,4,22,20,17,5,4,16,22,9,1,27,42
Landscape Architecture,24,9,17,18,20,4,6,5,19,11,7,2,1,0,9,6,3,21,1,2,13,1,11,4,28
Liberal Arts and Engineering Studies,36,93,12,46,61,21,6,36,52,47,6,14,17,9,32,72,6,19,10,30,67,5,8,10,18
Liberal Studies,269,23,209,57,24,5,106,57,39,46,66,32,58,5,31,46,54,42,10,33,28,28,8,31,65
Manufacturing Engineering,43,94,25,105,32,15,41,78,119,104,19,25,26,4,62,151,19,33,12,54,100,26,8,13,113
Marine Sciences,43,32,104,69,28,18,129,54,43,58,19,19,34,2,25,54,27,29,1,20,69,12,22,12,174
Materials Engineering,18,34,49,49,25,7,51,51,86,54,23,14,19,5,38,91,7,34,7,54,59,13,6,17,30
Mathematics,6,47,34,39,4,1,15,35,48,56,8,3,22,4,16,61,6,89,39,90,114,9,6,9,5
Mechanical Engineering,16,96,23,71,35,4,32,50,105,69,30,13,17,7,47,185,18,34,18,78,78,3,18,18,23
Microbiology,16,29,12,91,11,3,145,28,39,31,42,6,15,1,77,43,8,17,1,13,50,5,15,6,33
Music,18,2,5,10,7,0,3,4,8,26,0,1,8,168,2,4,15,0,0,1,5,0,2,6,0
Nutrition,42,8,55,57,16,4,127,27,37,28,113,17,18,6,38,30,9,25,5,13,28,13,3,6,32
Philosophy,48,3,19,10,11,2,10,9,9,10,4,3,2,0,2,13,2,3,6,0,8,3,0,8,12
Physics,13,6,16,13,7,4,15,13,18,18,4,6,5,0,4,24,4,18,1,71,24,0,2,4,4
Political Science,188,18,41,28,14,3,11,31,19,20,10,2,17,0,8,25,16,4,0,2,26,35,6,3,31
Public Health,129,25,83,41,37,3,81,29,33,29,210,12,75,2,30,25,11,8,6,8,45,19,6,18,85
Psychology,108,10,76,9,8,3,37,11,10,17,34,13,12,0,4,13,9,4,1,1,16,9,0,3,15
"Recreation, Parks, and Tourism Administration",130,12,67,121,52,11,12,64,44,76,42,26,22,4,76,33,23,10,1,2,46,43,8,17,159
Sociology,171,11,88,36,21,0,9,34,28,36,15,9,17,1,15,31,9,1,1,2,33,20,3,11,34
Software Engineering,27,274,32,80,40,2,79,56,87,63,10,18,44,7,50,108,11,43,19,45,160,31,4,24,37
Spanish,325,23,85,31,29,12,8,41,38,54,20,13,155,13,5,29,59,0,67,0,28,47,6,11,104
Statistics,2,44,2,26,6,1,2,23,31,26,0,4,9,2,6,34,4,37,12,19,107,0,1,2,1
Theatre Arts,22,6,6,14,10,32,5,7,30,20,4,3,11,15,11,7,13,1,1,0,9,1,1,3,1
Wine and Viticulture,40,12,13,151,20,1,69,47,34,49,15,13,52,1,77,27,8,7,3,6,31,47,17,6,38
Accounting,2,3,0,1,2,8,1,12,2,13,0,0,1,0,2,4,1,0,0,0,0,37,1,0,1
Consumer Packaging,2,3,0,8,8,3,1,7,6,4,3,0,2,0,9,3,0,1,3,0,7,2,1,3,7
Entrepreneurship,10,4,8,7,13,0,2,21,11,22,2,7,1,0,6,3,4,0,0,0,3,11,1,0,6
"Ethics, Law and Social Justice",90,8,15,10,8,1,3,8,11,9,4,0,2,0,0,14,4,1,0,0,9,12,2,1,5
Financial Management,12,17,3,15,3,6,7,14,15,16,1,0,7,0,11,12,3,3,1,3,15,94,1,1,3
Global Citizenship and Social Sustainability,196,4,50,25,29,13,5,11,17,22,4,14,24,0,12,20,28,0,1,7,10,40,4,1,147
Health and Society,147,11,77,22,33,14,33,5,10,19,53,24,18,0,17,15,15,4,0,1,7,14,0,11,138
Industrial Technology,4,7,4,23,16,4,0,24,12,24,4,4,2,2,21,11,4,1,0,2,4,10,0,4,10
Information Systems,2,12,2,10,4,0,0,11,5,12,0,1,2,1,7,5,0,0,3,0,6,1,1,1,3
Management and Human Resources,5,1,8,12,9,0,2,19,9,20,1,5,2,7,7,4,0,1,0,0,4,2,0,5,15
Marketing Management,5,4,2,22,7,0,0,11,5,11,0,0,0,0,6,4,2,2,0,0,6,1,1,2,0
Packaging Technology,0,1,3,13,6,3,4,7,4,5,2,0,0,0,19,2,2,0,0,1,3,2,0,3,3
Quantitative Analysis,4,19,1,21,2,0,0,22,20,24,1,0,4,1,4,25,1,38,16,37,72,8,1,1,0
Real Estate Finance,8,4,0,12,2,2,2,7,10,8,2,0,2,0,8,5,2,1,1,2,9,17,4,0,8
"Science, Technology and Society",99,8,57,16,58,15,27,4,8,20,14,22,20,0,10,16,16,1,4,7,4,18,2,3,153
Visual Media and Cultural Studies,141,8,13,24,27,7,1,17,18,28,0,0,22,16,8,18,22,1,9,1,18,3,9,3,4
"Bioinformatics, Cross Disciplinary Studies",0,21,2,15,3,0,47,11,19,15,2,3,8,2,5,13,2,1,0,1,22,0,0,2,2
"Data Science, Cross Disciplinary Studies",0,31,8,14,4,0,5,11,15,13,0,2,7,2,5,15,0,9,1,11,42,0,0,1,1
"Heavy Civil, Cross Disciplinary Studies",4,5,0,15,4,0,0,4,44,4,0,0,0,1,8,12,0,1,2,0,7,3,5,0,5
