Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Mathematics,3,44,8,39,0,0,15,35,46,37,8,1,14,4,16,49,6,82,27,74,73,9,6,8,5
Mechanical Engineering,14,89,4,67,29,3,32,45,90,66,20,13,9,7,47,140,18,25,1,66,29,3,18,17,23
Microbiology,9,29,7,82,8,2,128,26,39,30,38,3,13,1,70,38,8,17,0,11,23,5,14,6,32
Music,9,2,5,10,6,0,3,4,8,26,0,1,8,147,2,4,15,0,0,1,1,0,2,6,0
Nutrition,32,8,47,52,8,4,109,27,37,28,101,12,18,6,35,27,9,25,0,11,11,13,3,6,31
Philosophy,37,3,11,10,11,2,9,9,9,10,4,3,1,0,1,13,2,2,6,0,0,3,0,8,11
Physics,13,4,7,13,7,4,15,13,17,18,4,6,2,0,4,18,4,18,0,57,11,0,2,4,4
Political Science,174,18,32,24,9,1,11,31,19,20,9,2,7,0,8,24,16,4,0,2,13,35,6,2,20
Public Health,120,25,75,35,28,3,71,28,33,28,188,8,70,2,28,22,11,8,4,7,28,18,6,17,77
Psychology,101,10,71,9,7,3,31,11,10,17,27,10,11,0,4,13,9,4,0,1,8,7,0,1,14
"Recreation, Parks, and Tourism Administration",109,12,60,118,48,11,11,60,43,76,35,22,8,3,75,33,23,10,0,2,20,42,8,11,119
Sociology,157,11,83,36,17,0,9,34,28,36,12,9,9,1,15,31,9,1,1,2,12,19,3,6,26
Software Engineering,18,253,20,73,30,2,75,48,81,61,10,8,38,7,45,97,11,36,1,39,113,9,3,24,30
Spanish,249,23,75,30,27,10,8,32,38,54,19,13,112,12,5,28,59,0,67,0,2,47,6,7,68
Statistics,2,39,0,26,3,0,2,23,31,26,0,3,7,2,6,33,4,32,6,19,74,0,1,1,1
Theatre Arts,15,6,5,14,8,19,5,7,30,20,3,3,10,14,11,6,13,0,1,0,3,1,1,3,1
Wine and Viticulture,32,12,9,140,17,1,65,44,34,49,14,7,49,1,74,23,8,7,3,5,14,45,17,5,30
Accounting,2,3,0,1,2,1,1,12,2,13,0,0,1,0,2,4,1,0,0,0,0,37,1,0,1
Consumer Packaging,1,3,0,8,6,3,1,6,5,4,3,0,1,0,9,3,0,1,0,0,5,2,1,2,6
Entrepreneurship,9,4,8,7,13,0,1,17,11,22,0,6,1,0,6,3,4,0,0,0,1,9,1,0,4
"Ethics, Law and Social Justice",79,8,14,8,6,1,3,8,11,9,3,0,2,0,0,14,4,1,0,0,2,12,2,0,5
Financial Management,4,17,2,15,3,2,7,14,15,16,1,0,7,0,11,12,3,3,1,3,9,78,1,1,3
Global Citizenship and Social Sustainability,160,4,46,24,26,12,5,10,17,22,3,14,4,0,11,14,28,0,1,5,2,40,4,0,104
Health and Society,134,11,70,22,32,14,26,4,10,18,51,20,4,0,16,14,15,4,0,1,3,13,0,8,103
Industrial Technology,4,7,4,23,12,4,0,20,11,24,3,4,1,2,20,9,4,1,0,1,2,8,0,2,8
Information Systems,2,11,2,10,4,0,0,11,5,12,0,0,2,1,7,4,0,0,0,0,3,0,1,1,3
Management and Human Resources,5,1,7,12,8,0,2,16,9,20,0,5,1,7,6,4,0,1,0,0,1,2,0,3,13
Marketing Management,3,4,2,22,7,0,0,9,5,11,0,0,0,0,6,3,2,2,0,0,3,1,1,2,0
Packaging Technology,0,1,0,13,3,3,3,6,4,5,2,0,0,0,16,2,2,0,0,0,2,2,0,2,2
Quantitative Analysis,0,18,0,21,0,0,0,22,20,23,1,0,2,1,4,23,1,35,9,37,48,8,1,1,0
Real Estate Finance,1,4,0,12,1,2,2,7,10,8,1,0,2,0,8,5,2,0,1,2,5,14,4,0,8
"Science, Technology and Society",83,8,30,16,57,15,27,3,8,19,11,22,4,0,9,10,16,1,3,5,2,17,0,3,117
Visual Media and Cultural Studies,113,8,12,24,25,6,1,17,18,28,0,0,19,16,8,18,22,1,9,1,2,3,9,3,4
"Bioinformatics, Cross Disciplinary Studies",0,21,1,12,2,0,40,11,19,15,2,2,6,2,4,13,2,1,0,1,12,0,0,2,2
"Data Science, Cross Disciplinary Studies",0,27,3,14,2,0,5,11,15,13,0,2,5,2,4,14,0,8,0,11,32,0,0,1,1
"Heavy Civil, Cross Disciplinary Studies",1,5,0,15,2,0,0,4,43,4,0,0,0,1,8,12,0,1,0,0,3,3,5,0,3
