Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Child Development,15,0,12,0,3,1,7,0,0,1,14,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,4,1,0,9
City and Regional Planning,83,8,1,4,5,9,0,15,0,5,0,1,1,4,4,1,5,0,0,7,2,15,10,0,117,3,47,0,3,4
Civil Engineering,3,17,2,3,1,0,8,0,4,0,0,1,0,2,3,4,13,3,5,2,1,26,48,0,27,13,3,2,0,5
Communication Studies,18,0,1,0,1,0,0,3,2,0,0,1,0,0,1,2,0,0,0,1,0,2,0,1,1,1,1,0,0,1
Comparative Ethnic Studies,248,4,16,14,2,14,0,11,1,13,1,4,13,5,8,50,1,2,1,1,16,5,7,0,36,1,10,2,0,6
Computer Engineering,5,56,1,6,11,3,3,3,1,2,0,10,4,5,5,0,20,10,9,5,1,18,0,0,1,0,0,31,24,1
Computer Science,4,119,9,9,11,2,24,6,6,1,1,28,11,14,5,2,15,4,3,29,7,34,0,0,8,6,0,16,26,5
Construction Management,3,3,5,2,1,0,2,8,4,2,0,0,2,0,1,1,3,0,0,3,6,63,6,0,11,17,4,1,2,0
Dairy Science,4,9,3,30,2,1,22,6,0,21,0,0,3,82,0,2,4,0,0,4,13,2,5,0,10,1,0,0,11,4
Economics,3,15,0,1,1,0,0,9,0,0,0,2,1,0,0,1,0,1,1,5,11,5,0,0,0,1,0,1,1,0
Electrical Engineering,2,121,0,10,37,11,15,8,4,0,0,16,16,21,38,0,33,12,33,13,12,41,2,0,13,5,0,56,23,4
English,31,0,4,1,2,2,0,1,3,0,0,28,0,0,0,19,0,4,0,2,0,1,0,0,0,0,0,0,0,0
Environmental Earth and Soil Sciences,50,31,6,82,9,13,12,10,0,16,0,5,3,17,2,0,7,0,5,4,2,15,169,0,198,4,14,1,8,25
Environmental Engineering,0,17,1,5,0,0,14,0,2,3,0,0,0,3,0,2,7,0,6,7,1,3,20,0,36,3,1,0,0,3
Environmental Management and Protection,61,22,6,83,8,13,18,15,0,16,0,2,3,19,2,0,5,0,3,4,2,15,155,0,211,2,20,1,9,40
Food Science,9,7,1,15,0,0,17,4,0,12,0,0,2,97,0,6,5,0,2,1,0,4,7,0,10,0,1,0,26,2
Forest and Fire Sciences,56,24,6,85,8,13,13,13,0,18,0,2,3,18,3,1,5,0,3,4,2,15,186,0,226,2,20,1,8,32
General Engineering,0,14,0,3,0,0,20,0,2,0,0,2,1,1,0,0,9,0,7,6,1,5,2,0,1,1,0,4,0,4
Graphic Communication,8,11,0,9,62,23,2,20,6,3,0,2,1,11,0,5,3,0,0,1,4,12,0,0,6,5,4,6,33,0
History,71,0,0,0,0,0,0,1,2,0,0,12,0,0,1,6,0,2,0,0,3,1,0,0,1,1,0,0,0,1
Industrial Engineering,18,66,2,10,5,16,6,10,4,1,0,2,4,9,6,2,14,1,4,17,6,29,0,0,20,9,0,20,40,3
Industrial Technology and Packaging,1,6,0,1,1,0,1,6,1,1,0,0,1,9,2,2,1,0,0,1,0,3,0,0,0,0,1,3,24,0
Interdisciplinary Studies,21,1,1,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0
Journalism,16,0,1,8,24,1,0,5,0,0,0,0,1,0,3,5,2,0,0,5,0,1,0,0,1,0,0,4,0,0
Kinesiology,30,7,11,2,4,5,16,11,8,108,1,2,4,3,0,15,3,1,0,2,0,3,0,3,5,1,12,3,0,7
Landscape Architecture,2,1,10,4,6,1,1,2,3,2,0,0,0,1,0,0,1,0,0,1,0,15,6,0,15,0,6,0,0,7
Liberal Arts and Engineering Studies,13,43,1,8,19,13,1,6,2,0,0,9,7,5,8,2,5,4,3,6,2,21,0,0,2,6,0,2,11,0
Liberal Studies,105,9,85,17,3,4,25,8,4,28,7,9,5,6,1,21,19,3,1,2,0,6,5,0,15,3,3,1,1,25
Manufacturing Engineering,17,63,0,12,5,15,10,12,5,1,0,2,4,16,9,3,15,1,4,8,5,42,0,0,20,9,0,28,51,2
Marine Sciences,23,19,34,5,1,17,43,5,3,7,0,3,2,4,1,7,16,0,2,10,0,6,12,0,51,1,5,0,3,44
Materials Engineering,1,20,19,5,1,4,15,8,2,1,0,1,5,13,0,2,12,0,6,5,4,22,1,0,10,4,0,37,17,0
Mathematics,2,22,6,1,0,0,2,2,3,0,1,9,4,3,1,5,52,20,16,27,3,9,0,0,1,0,0,2,7,0
Mechanical Engineering,2,53,3,12,7,1,4,0,15,0,0,1,7,11,17,13,11,1,4,4,0,39,5,0,7,6,1,28,22,0
Microbiology,6,19,2,21,0,1,51,3,3,25,0,2,1,40,0,6,11,0,2,7,0,4,10,0,16,0,0,1,9,9
Music,7,1,4,1,1,0,0,0,16,0,0,0,89,1,0,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Nutrition,19,5,8,11,0,4,37,9,1,76,3,1,5,19,0,8,13,0,3,3,3,7,1,0,3,0,7,1,3,9
Philosophy,18,2,2,0,0,2,0,1,0,2,0,0,0,0,2,1,1,6,0,0,0,1,0,2,1,0,0,0,2,1
Physics,9,2,0,0,2,4,3,0,1,0,0,0,0,0,0,0,7,0,17,0,0,0,0,0,2,0,0,9,2,0
Political Science,87,7,2,3,0,1,0,19,0,2,0,4,0,2,5,5,3,0,0,3,1,6,4,1,10,1,4,5,0,2
Public Health,64,9,11,7,2,3,21,15,0,122,1,27,2,8,0,3,7,0,0,11,0,6,1,0,25,1,14,2,0,11
Psychology,48,4,13,0,0,3,7,4,1,9,3,3,0,1,1,5,2,0,0,1,0,1,0,0,2,0,4,2,0,9
"Recreation, Parks, and Tourism Administration",68,6,9,10,8,9,0,33,2,11,0,1,2,22,0,11,5,0,0,5,5,16,1,5,47,6,16,0,10,4
Sociology,83,1,5,6,1,0,1,14,0,1,4,3,1,3,5,3,1,1,0,1,1,5,0,0,6,1,5,1,0,3
Software Engineering,3,110,10,4,6,2,25,4,2,1,0,26,7,14,5,2,13,0,5,28,4,31,0,0,8,6,0,15,25,6
Spanish,119,1,23,3,2,9,0,5,11,8,2,25,10,0,1,34,0,24,0,0,6,6,0,0,19,1,5,0,0,6
Statistics,1,21,0,0,1,0,0,0,2,0,0,5,2,3,1,3,13,5,2,31,0,8,0,0,0,0,0,0,7,0
Theatre Arts,9,2,1,6,3,4,0,1,6,0,0,2,12,0,0,8,0,1,0,2,0,15,0,0,0,7,1,0,0,0
Wine and Viticulture,14,5,0,43,3,1,25,22,1,7,0,17,1,28,0,3,4,0,1,1,17,7,14,0,20,3,1,0,24,9
Accounting,0,3,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22,1,0,0,0,0,0,1,1,0
Consumer Packaging,0,1,0,0,2,2,0,4,0,0,0,0,0,5,0,0,1,0,0,1,0,3,0,0,0,0,0,0,24,0
Entrepreneurship,8,4,1,0,0,0,0,15,2,0,0,0,0,6,0,4,0,0,0,1,1,8,0,0,2,4,4,1,12,0
"Ethics, Law and Social Justice",34,4,0,0,3,1,0,1,0,1,0,0,0,0,3,1,1,0,0,0,1,3,0,0,2,0,0,4,1,1
Financial Management,1,11,0,1,1,2,0,7,0,0,0,1,0,1,1,0,3,1,1,4,29,4,0,0,0,1,0,3,8,0
Global Citizenship and Social Sustainability,83,0,1,7,2,12,0,2,0,0,0,2,0,3,2,2,0,1,0,0,1,8,4,0,43,2,2,1,0,4
Health and Society,68,6,6,10,2,14,3,0,0,31,2,1,0,4,1,0,3,0,1,0,0,5,0,0,41,0,0,2,0,4
Industrial Technology,2,6,1,3,2,3,0,14,2,0,0,0,2,8,1,2,0,0,0,1,3,8,0,0,2,3,0,0,42,0
Information Systems,0,7,2,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,1,0,0
Management and Human Resources,4,1,2,0,0,0,0,13,0,0,0,0,7,0,0,0,1,0,0,0,0,5,0,0,3,3,0,0,12,0
Marketing Management,2,1,0,0,3,0,0,6,2,0,0,0,0,4,0,2,0,0,0,1,0,2,0,0,0,0,0,0,5,0
Packaging Technology,0,1,0,1,0,2,0,5,1,0,0,0,0,13,0,1,0,0,0,1,0,2,0,0,0,0,0,0,25,0
Quantitative Analysis,0,14,0,0,0,0,0,4,1,0,0,1,1,2,1,0,20,9,10,21,3,2,0,0,0,0,0,0,5,0
Real Estate Finance,0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,1,3,5,4,4,0,8,1,5,3,3,1
"Science, Technology and Society",51,4,2,6,2,15,0,1,0,6,0,2,0,2,1,1,1,2,0,0,0,4,0,0,49,0,3,0,2,3
Visual Media and Cultural Studies,56,1,0,8,3,6,0,0,3,0,0,3,14,0,1,15,0,4,1,0,0,1,0,0,0,0,0,0,0,2
"Bioinformatics, Cross Disciplinary Studies",0,11,0,0,0,0,21,1,2,0,0,2,2,0,0,2,1,0,0,2,0,5,0,0,0,0,0,0,2,1
"Data Science, Cross Disciplinary Studies",0,13,3,0,0,0,0,1,0,0,0,4,2,0,0,0,4,0,0,12,0,5,0,0,0,0,0,0,0,0
"Heavy Civil, Cross Disciplinary Studies",0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,0,2,9,2,1,1,0
