Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Food Science,20,17,98,22,17,3,54,21,19,37,25,10,17,12,149,21,6,10,7,6,6,8,21,29,2
Forest and Fire Sciences,137,74,309,57,36,3,68,47,59,518,77,19,42,36,183,43,54,26,16,35,14,34,326,34,27
General Engineering,6,42,36,23,5,2,51,5,45,8,59,9,28,21,9,12,2,25,0,9,46,4,21,41,10
Graphic Communication,13,57,59,35,10,2,15,3,32,50,17,14,23,13,48,7,11,5,7,14,2,118,14,41,49
History,133,13,6,7,0,0,0,0,6,19,7,0,10,49,0,7,19,0,9,9,3,3,0,0,1
Industrial Engineering,41,156,104,75,22,4,29,8,123,110,140,12,90,22,46,19,45,37,19,22,47,13,72,85,24
Industrial Technology and Packaging,4,14,12,8,1,1,3,1,13,17,8,1,4,5,21,5,5,7,3,9,5,4,4,16,6
Interdisciplinary Studies,49,7,4,4,2,0,2,0,23,6,4,1,6,3,0,5,8,1,4,1,2,8,2,1,3
Journalism,32,21,22,12,2,1,0,1,28,11,9,4,7,15,11,4,16,3,13,11,4,101,1,5,16
Kinesiology,52,22,23,28,22,4,47,186,21,44,20,14,34,13,84,32,14,5,17,8,14,20,11,12,40
Landscape Architecture,23,12,17,5,6,0,6,5,12,34,6,3,8,1,11,20,2,20,3,8,2,13,13,8,10
Liberal Arts and Engineering Studies,33,117,47,34,18,9,6,0,65,31,70,10,40,17,32,14,11,22,6,19,29,52,28,38,22
Liberal Studies,277,40,73,32,50,5,106,76,27,74,48,27,55,58,50,182,31,43,54,35,32,29,24,27,18
Manufacturing Engineering,41,149,105,74,27,4,41,9,102,113,151,14,87,26,61,26,45,37,19,23,52,23,82,149,23
Marine Sciences,41,58,75,36,64,2,129,16,64,159,52,24,54,34,30,98,14,33,27,22,21,16,56,13,8
Materials Engineering,18,58,55,42,21,5,51,9,58,30,90,10,48,19,39,62,13,36,7,14,56,22,38,157,12
Mathematics,6,78,43,37,12,4,15,1,112,12,66,5,41,22,16,41,18,99,6,25,95,2,17,38,10
Mechanical Engineering,16,140,72,53,26,7,32,14,84,26,184,10,76,17,47,39,14,38,18,22,79,33,72,203,16
Microbiology,15,52,92,29,25,1,145,38,48,37,43,9,37,15,81,13,5,17,8,5,11,7,32,21,7
Music,18,6,10,13,9,170,3,0,5,0,4,0,27,8,2,10,0,0,15,2,1,4,0,2,0
Nutrition,39,25,58,31,26,6,127,129,28,35,30,19,32,18,64,23,14,27,9,9,13,14,14,15,12
Philosophy,42,12,12,9,16,0,10,8,8,11,13,4,13,2,3,16,5,3,2,11,0,14,1,0,2
Physics,13,17,13,13,14,0,15,2,25,4,30,6,27,5,4,13,3,21,4,4,73,6,0,27,3
Political Science,184,30,26,39,11,0,11,16,27,44,24,3,15,17,10,11,37,4,16,5,2,16,16,10,11
Public Health,126,38,44,28,18,2,81,204,41,98,24,13,24,75,112,36,21,8,11,24,7,36,18,11,28
Psychology,104,18,14,12,18,0,37,65,15,17,13,15,22,12,12,24,12,4,9,7,1,15,4,2,12
"Recreation, Parks, and Tourism Administration",125,37,126,67,22,3,12,32,48,184,33,19,48,22,79,31,53,11,23,25,2,41,32,10,60
Sociology,164,31,38,38,6,1,9,33,31,42,31,8,22,17,16,21,20,1,9,9,2,20,5,3,20
Software Engineering,23,314,84,49,17,7,79,12,160,61,107,12,62,44,47,46,28,47,11,67,52,38,48,72,23
Spanish,327,49,34,42,32,12,8,21,27,99,28,12,70,155,11,45,48,0,59,90,0,27,15,3,9
Statistics,2,65,27,25,4,2,2,0,104,4,34,4,32,9,6,3,5,42,4,14,24,3,19,6,8
Theatre Arts,20,12,14,12,33,16,5,0,9,4,7,1,18,11,11,5,1,2,13,6,0,11,8,12,8
Wine and Viticulture,40,29,147,52,15,1,69,15,29,67,27,10,33,52,79,10,48,7,8,16,6,29,22,16,8
Accounting,2,3,1,12,8,0,1,0,0,2,4,0,0,1,2,0,36,0,1,1,0,1,5,2,0
Consumer Packaging,1,5,8,6,2,0,1,0,7,9,3,0,3,2,9,2,3,1,0,4,0,3,3,18,1
Entrepreneurship,10,7,7,20,5,0,2,0,4,5,3,1,10,1,6,1,14,0,4,3,0,9,5,5,11
"Ethics, Law and Social Justice",84,15,8,8,3,0,3,9,9,8,14,1,7,2,1,2,12,1,4,1,0,8,6,6,1
Financial Management,12,22,15,17,8,0,7,2,18,18,13,0,7,7,11,2,118,3,3,4,3,4,8,6,0
Global Citizenship and Social Sustainability,194,12,25,10,17,0,5,6,12,150,21,12,20,24,12,8,40,0,28,4,7,23,21,7,8
Health and Society,146,15,24,4,29,0,33,73,6,130,14,27,23,18,41,24,15,4,15,6,1,28,20,3,5
Industrial Technology,4,10,23,24,4,2,0,3,4,15,11,0,8,2,20,4,15,1,4,3,1,9,9,24,7
Information Systems,2,15,10,12,0,1,0,0,7,10,4,1,3,2,7,3,2,1,0,14,0,1,3,2,9
Management and Human Resources,5,4,13,22,1,7,2,2,3,20,4,0,8,2,6,7,4,1,0,6,0,8,3,2,11
Marketing Management,3,7,22,11,4,0,0,0,6,2,3,0,6,0,6,2,5,2,2,8,0,7,2,2,5
Packaging Technology,0,2,13,7,6,0,4,0,3,2,2,0,2,0,18,5,3,0,2,3,0,3,4,20,2
Quantitative Analysis,4,36,22,22,0,1,0,0,72,5,25,0,23,4,4,2,23,46,1,10,43,0,7,3,4
Real Estate Finance,8,8,12,8,3,0,2,1,10,26,6,0,5,2,8,0,40,1,2,3,2,1,10,7,1
"Science, Technology and Society",98,10,17,3,42,0,27,13,3,150,17,21,24,20,16,36,19,1,16,9,7,48,28,7,19
Visual Media and Cultural Studies,148,24,24,17,14,16,1,0,17,5,18,1,30,22,8,5,3,1,22,16,1,23,1,2,4
"Bioinformatics, Cross Disciplinary Studies",0,31,15,12,4,2,47,1,23,3,13,1,17,8,4,3,0,1,2,4,1,1,5,5,5
"Data Science, Cross Disciplinary Studies",0,40,15,11,5,2,5,0,44,5,15,0,15,7,4,9,1,11,0,10,14,1,7,3,6
"Heavy Civil, Cross Disciplinary Studies",2,11,15,4,0,1,0,0,7,13,12,0,6,0,8,0,4,1,0,5,0,1,5,5,0
