Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Global Citizenship and Social Sustainability,129,0,13,10,12,0,0,3,79,2,8,11,20,2,3,1,26,0,28,1,18,5,20,5,1,1,3,15,8,3
Health and Society,124,9,14,4,23,0,15,46,79,1,10,20,23,2,4,9,11,4,15,1,24,1,14,5,3,0,1,19,5,0
Industrial Technology,2,6,17,19,4,2,0,1,13,2,5,0,8,0,10,2,8,0,4,0,7,1,0,3,4,32,3,3,10,37
Information Systems,1,10,7,11,0,1,0,0,10,1,1,0,3,1,0,3,0,0,0,2,1,0,1,9,1,8,1,4,2,0
Management and Human Resources,5,1,6,21,0,7,0,0,16,0,1,0,8,0,0,5,2,1,0,0,8,0,0,3,0,17,4,7,5,3
Marketing Management,3,4,19,9,2,0,0,0,2,2,0,0,5,0,4,2,1,0,2,2,7,0,0,2,0,25,0,1,2,4
Packaging Technology,0,1,3,6,3,0,0,0,2,2,1,0,2,0,14,1,1,0,2,0,2,0,0,2,3,5,0,0,3,29
Quantitative Analysis,0,16,3,22,0,1,0,0,1,47,5,0,20,2,2,0,8,26,1,0,0,35,1,3,1,7,0,3,2,2
Real Estate Finance,0,4,8,8,2,0,0,1,15,5,1,0,5,0,0,0,23,0,2,1,1,2,4,1,4,2,3,0,4,0
"Science, Technology and Society",74,7,12,3,16,0,1,8,90,0,10,21,24,3,2,4,13,1,16,3,47,5,26,13,2,0,0,18,6,6
Visual Media and Cultural Studies,108,3,8,16,7,16,0,0,1,0,2,0,30,8,0,3,1,0,22,9,16,1,1,3,1,0,0,6,3,1
"Bioinformatics, Cross Disciplinary Studies",0,19,2,11,3,2,29,0,3,3,3,0,17,2,0,0,0,1,2,0,1,1,0,2,1,0,4,1,5,2
"Data Science, Cross Disciplinary Studies",0,23,4,11,0,2,0,0,4,23,4,0,15,4,0,4,0,5,0,0,0,11,0,3,0,0,0,1,5,0
"Heavy Civil, Cross Disciplinary Studies",0,5,11,4,0,1,0,0,11,0,8,0,4,0,0,0,3,0,0,0,1,0,0,0,2,0,9,1,52,1
