Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Financial Management,1,15,10,15,2,0,6,1,12,7,5,0,7,1,10,1,69,3,3,1,3,2,1,3,0
Global Citizenship and Social Sustainability,129,0,13,10,12,0,1,3,2,79,8,11,20,2,8,1,37,0,28,1,5,18,20,1,5
Health and Society,124,9,14,4,23,0,16,46,1,79,10,20,23,2,8,9,11,4,15,1,1,24,14,3,5
Industrial Technology,2,6,17,19,4,2,0,1,2,13,5,0,8,0,16,2,10,0,4,0,1,7,0,4,3
Information Systems,1,10,7,11,0,1,0,0,1,10,1,0,3,1,7,3,0,0,0,2,0,1,1,1,9
Management and Human Resources,5,1,6,21,0,7,1,0,0,16,1,0,8,0,6,5,2,1,0,0,0,8,0,0,3
Marketing Management,3,4,19,9,2,0,0,0,2,2,0,0,5,0,6,2,1,0,2,2,0,7,0,0,2
Packaging Technology,0,1,3,6,3,0,0,0,2,2,1,0,2,0,14,1,2,0,2,0,0,2,0,3,2
Quantitative Analysis,0,16,3,22,0,1,0,0,47,1,5,0,20,2,3,0,8,26,1,0,35,0,1,1,3
Real Estate Finance,0,4,8,8,2,0,2,1,5,15,1,0,5,0,7,0,23,0,2,1,2,1,4,4,1
"Science, Technology and Society",74,7,12,3,16,0,1,8,0,90,10,21,24,3,7,4,15,1,16,3,5,47,26,2,13
Visual Media and Cultural Studies,108,3,8,16,7,16,0,0,0,1,2,0,30,10,0,3,3,0,22,9,1,16,1,1,3
"Bioinformatics, Cross Disciplinary Studies",0,19,2,11,3,2,33,0,3,3,3,0,17,2,2,0,0,1,2,0,1,1,0,1,2
"Data Science, Cross Disciplinary Studies",0,23,4,11,0,2,0,0,23,4,4,0,15,5,4,4,0,5,0,0,11,0,0,0,3
"Heavy Civil, Cross Disciplinary Studies",0,5,11,4,0,1,0,0,0,11,8,0,4,0,7,0,3,0,0,0,0,1,0,2,0
